old,nazev,Složení,Postup,Sklo,Garnýž,TO GO,,poznamka,,,
,Gin Fizz,"5cl Tanqueray, 2cl citron, 1cl bílej simple, (2cl Bílek) soda na dolití",vše kromě sodovky do shakeru,long na led?,kolečko citronu (pokud s bílkem tak nic),můžeš dělat twist s bezinkovým sirupem a zdobený mátou,,,,,
,Gin Smash,"6cl Tanqueray, 2cl citron / limeta, 1cl bílý simple, hrstka bylin","vše do shakeru, hard hard shake",broušená whiskovka,bylinka ,"může být bazalka, máta, koriandr",,,,,
,Gonzoni,"3cl Tanqueray, 3cl Campari, 3cl Cinzano rosso 1757, 5cl Prosseco","vymíchat jako negroni, dolít prosecem a opatrně promíchat",broušená whiskovka,nope,,,,,,
,High Society,"4cl Tanqueray, 2cl Campari, 2cl Merunka, 8cl Grep Mošt",Vše shaker,Longovka,plátek grepu,,,*,,,
,Hugo Spritz,"1dcl Prosecco, 1dcl soda, 2cl bezový sirup",rovnou do skla,vinná sklenice,"Plátek citronu, snítka máty",,,,,,
,Hurricane,"4cl Blackwell, 4cl Malecon 8y, 6cl Passion fruit, 2cl limeta, 0,5cl grenadina, 0,5cl tmavý simple",vše do shakeru,tiki glass,"pomeranč, grep, cocktail třešeň",,,,,,
,Champs-Élysées,"4cl Francois Voyer, 2cl Verveine du Velay verte, 2cl citron, 1cl simple","vše do shakeru, hard shake",coupette,nope,,,,,,
,Kingston,"3cl Angostura7y
3cl Campari
3cl Cinzano 1757",vymíchat přímo ve skle na spoustě ledu,broušená whiskovka,pomerančová kůra,,,,,,
,Kentucky Apricots,"4cl Wild Turkey, 2cl citron, 2cl meruňkový sirup, tymián","vše do shakeru, double strain",broušená whiskey glass,snítka tymiánu,,,,,,
,Lagerita,"4cl Tres alegres blanco, 2cl lime, 1,5 cointreau, dolít ležákem","shake vše krom piva, pak dolít","pivní sklo 0,25 (ten na bikinitu)","slaná krusta na půl okraje, měsíček limety",,,,,,
x,Letnáburg (Lynchburg) Lemonade,"4cl Wild Turkey, 2cl Southern Comfort, 1cl Piu Citron, 2cl Citron fresh, dolít ginger ale","build-up přímo do skla, lehce promíchat",broušenej long,půl pomeranč a třešnička,,,NElze/ lze s creole shrub?,,,
,Last Word,"2cl Maraschino, 2cl Tanqueray, 2cl Verveine du Velay verte, 2cl lime",hard shake,coupette,kolečko limety,,,,,,
,Limping Agave,"60ml Premixu (30ml Tres alegres Blanco, 10ml San cosme, 20ml ArtSpritz), 20ml Citron, 10ml Bezový sirup, 2 střiky Angostury Bitters",Vše do shakeru. Hardshake. ,Broušená Whisky,citron zest,,,,,,
,Lípa Fizz,"4cl Tanqueray, 3cl lípa-cointreau sirup, 2cl citron, 2cl bílek","dry-shake, shake, double strain",broušená long,"zástřik citronovou kůrou, nevhazovat, vyhodit",,,,,,
,Long Island IT,"2cl Tres alegres Blanco, 2cl seven vodka, 2cl Tanqueray, 2cl Flor de Cana 4yo, 2cl Cointreau, citron, top Fritz-kola",přímo do sklenice,long,kolečko citronu,,,,,,
,Mai Tai,"2cl Flor de Cana 4yo, 2cl Kafka rum reserva, 1cl pussers Black, 2cl lime, 1,5cl Creole Shrub, 1cl orgeat, 0,5cl Tmavý simple",vše do shakeru,broušená whiskovka,"limeta, máta",,,,,,
,Mai Tai Spritz,"Plantation Pineaple 3cl, Clement Orange Shrub 1,5cl, Limeta 2cl, Mandle Orgeat 1,5cl, Proseco brut 5cl na dolití","vše do shakeru až na prsoseco, shake, strain, top proseco",broušenej long,snítka máty,,,,,,
,Manhattan Sweet,"5cl old overholt, 2cl Cinzano rosso, 2dashes angostura",míchací sklenice,coupette,2 LUXARDO třešínky na bambusové napichovátko,,,,,,
,Manhattan Perfect,"5cl old overholt,1 cl Cinzano Rosso, 1cl Noilly Prat 2dashes angostura",míchací sklenice,coupette,1 LUXARDO třešínka na bambusové napichovátko + twist pomerančové kůry,,,,,,
,Manhattan Dry,"5cl old overholt, 2cl Noilly Prat, 2dashes angostura",míchací sklenice,coupette,twist pomerančové kůry,,,,,,
!!!,Margarita / Mezcalita,"4cl Tres alegres blanco / 4cl San cosme mezcal, 2cl lime, 1,5cl Cointreau (optional 1cl simple)a","vše do shakeru, double strain",coupette/ anebo na led do whiskovky,"slaná krusta na půl okraje, měsíček limety","Markétina kyselejší verze:
na led do broušený whiskovky
4cl Tres Alegres blanco
2,5cl+ lime
1,5cl cointreau
sůl po celým okraji sklenky
díl limety",,Tommy's Margarita je s Agávovým medem / sirupem ,,,
,Martinez,"4cl Old Tom, 4cl Cinzano rosso, 0,5cl Maraschino, 2dashes angostura",míchací sklenice,coupette,orange zest,,,,,,
,Mary Pickford,"5cl Flor de Cana 4yo, 5cl Ananas Juice, 0,5cl grenadina, lžička Maraschina",vše do shakeru,coupette,třešnička,,,,,,
,Milano Spritz,"4cl Campari, 5cl Brusinkový mošt, 1dcl Spumante, Máta","přímo do skla, lehce promíchat dozdobit mátou",vinná sklenice,máta,,,,,,
,Michelada,"1dcl Rajče, 3střiky tabasco, 2cl limeta, sůl, pepř, 2dcl Ležák",společně zlehka vyrolovat,long,"slaná krusta na půl okraje, měsíček limety",,,,,,
,Mimosa / Mangosa etc,"1dcl Spumante, 1dcl Džus (pomeranč, mango...)",přímo do skla,vinná sklenice,pomík / máta,,,,,,
,Mojito,"6cl Flor de Cana 4yo, 3/4 limety, máta, 2cl tmavý simple, soda na dolití","podrtit limetu se simplem, přidat mátu, led, rum a sodu, promíchat, dotvořit ledem",limo sklenice,máta,,,,,,
,"Moscow Mule
/
London Mule","4cl Seven vodka/tanqueray, 1cl limeta fresh, 2 střiky angostury, dolít ginger beer",přímo do sklenice,longovka,"limeta, okurka ",,,,,,
,Monks Gone Wild (Scotch Martini),"3cl Singleton12y, 3cl red-berry pyre, 2cl Chartreuse Jaune, 2cl ananas džus",Vše do shakeru. ,coupette,xxx,,,,,,
,Mr. Simpleton,"4cl Singleton12y, 2cl Piu Rakytník, 1,5cl citron",Vše do shakeru. ,Singleton whiskovka,rozmarýn,,,,,,
,Negroni,"3cl Tanqueray, 3cl Campari, 3cl Cinzano 1757",vymíchat přímo ve skle na spoustě ledu,broušená whiskovka,pomerančová kůra,,,,,,
,Mezcal Negroni,"3cl Mezcal San Cosme, 3cl Campari, 3cl Cinzano 1757",vymíchat přímo ve skle na spoustě ledu,broušená whiskovka,pomerančová kůra,,,,,,
,Negroni Sbagliato,"3cl Campari, 3cl Cinzano 1757, 5cl prosecco",vymíchat přímo ve skle top prosecco,broušená whiskovka,pomerančová kůra,,,,,,
,Kafe Negroni ,"3cl Campari, 3cl Cinzano 1757, 1dc Batch brew",vymíchat přímo ve skle na spoustě ledu,broušená whiskovka,pomerančová kůra,,,,,,
,Old Fashoined,"1cl simple, 3 dashes bitters, 6cl spirit",vymíchat přímo ve skle na spoustě ledu,broušená whiskovka,pomerančová kůra,,,,,,
,Paloma,"5cl Tres alegres blanco, 1,5cl Limeta, 0.5ks lahvička Grepové sody",Top up do sklenice na led,longovka,kolečko limety,,,,,,
,Paloma San Cosme,"5cl Mezcal San Cosme, 1,5cl Limeta, Láhvička Grepové sody",Top up do sklenice na led,longovka,kolečko limety,,,,,,
,Paloma Don Julio Gloria,"4cl Don Julio Blanco, 1cl gloria Single origin, 1,5cl Limeta, Láhvička Grepové sody",Top up do sklenice na led,Broušená longovka,kolečko limety,,,,,,
,Papa Doble,"5cl 3 Rivieres Cuvee 1cl Maraschino, 5cl grepový mošt, 2cl lime",vše do shakeru,coupette,grep zest,,,,,,
,"Passion, Not Fashion","4cl Averna Amaro, 5cl Passion-fruit Juice, 1dl Spumante",Na led do skla nalít prosseco. Zbytek do shakeru a nalít na prosseco.,Vinná sklenice,Snítka bazalky,,,,,,
,Penicilin,"5cl Cutty Sark, 0,5cl ginger fresh, 2cl medová voda, 2cl citron fresh, 1cl caol ila 12y","Vše až na Caol ila do shakeru, hard shake, nahoru na float nalít caol ila 12y",broušená whiskey glass,nope,s tím zázvorem vopatrně!,,,,,
,"""Piňa Colada""","4cl Blackwell, 2cl Clement Mahina coco, 8cl ananasový mošt, 2cl lime, 2cl Coco orgeat ","vše do shakeru, double strain",broušenej long,"máta, pomík, třešeň, co najdeš hezkého",,,,,,
,"""Piňa Colada"" Nealko","3cl Sober spirits rum, 3cl kokos orgeat, 12cl SD ananas 1,5cl lime fresh","vše do shakeru, double strain",broušenej long,"máta, pomík, třešeň, co najdeš hezkého",,,,,,
,Rage Against The Stream!,"4cl Singleton12y, 4cl red-fruit-puree, 1ks EastImperial Ginger ale",přímo do skla na led,Singleton whiskovka,pomik,,,,,,
X,Ramos Gin Fizz,"6cl Tanqueray, 3cl Smetana 31%!, 1cl citron, 1cl limeta, 1cl světlý simple, pár kapek pomerančové vody, 2cl bílek","vše do shakeru a haaaaard hard shake ideálně 10 minut, shakovat s příručníkem kůli námraze, předat klidně kolegovi na chvíli, double strain do vychlazené sklenice bez ledu dolít troškou sody",vetší lngovka bez ledu,nope,,,nedelame,,,
,Rob Roy,"6cl Cutty Sark, 3cl Cinzano 1757, 3střiky angostura",míchací sklenice,coupette,2 LUXARDO třešínky na bambusové napichovátko,,,,,,
,Roman Holiday no.6,"5cl premix (3cl Malfy Arancia, 2cl Aperitivo), 4cl brusinka, 2cl lime, 1cl Goji syrup, 3 lístky bazalky","vše do shakeru, double strain",broušená whiskey glass,lístek bazalky,,,nelze,,,
,Rum Smash,"6cl Flor de Cana 4yo, 2cl lime, 1cl tmavej simple, máta","vše do shakeru, hard shake",ideal,snítka máty,,,,,,
,Salty Dog,"4cl seven vodka, 2dcl grepový mošt, sůl","na sklenici udělat slanou krustu, a nalít přímo do skla na led",long,"plátek grepu, slaná krusta",,,,,,
,Sazerac,"6cl Voyer VSOP/Old Overholt, 1cl Tmavý simple, 3střiky Peychaud Bitters, Střik St. Antoine Atomizérem",v míchací sklenici vymíchat a přelít do vychlazené absintem vystříkané whiskovky bez ledu,broušená whiskey glass,citronová kůra,,,,,,
,Sex On The Beach (even the safe one),"4cl seven vodka, 1cl Meruňka, 4cl brusinkový mošt, 6cl pomerančový mošt",vše do shakeru,long,"pomeranč, třešnička",,,,,,
,Sea Breeze,"4cl seven vodka, 1,5dcl Brusinka, 0,5dcl Grep",přímo do skla,long,limeta,markovat jako Screwdriver,,,,,
,Single Anytime,"3cl Singleton12y, 3cl granát mošt, 3cl černý čaj, 1cl cointreau",Vše do shakeru. ,Singleton whiskovka,pomerančová kůra,dříve 5 o'clock Rye,,,,,
,Sharlotka,"4cl Zubrowka, 2dcl jablečný most",přímo do skla na led,long,nope,,,,,,
,Sidecar,"5cl Voyer VSOP, 2cl Cointreau, 2cl Citron",vše do shakeru,fancy coupete/ ,pomerančová kůra,,,,,,
,Skinny Bitch,"4cl seven vodka, lime fresh, soda na dolití",přímo do skla na led,long/collins,limeta,,,,,,
,Sober Society (N/A),"Bitter syrup 3cl, Merunkový sirup 2cl, Grepový mošt 8cl, citron 2cl, soda na dolití","Vše, až na sodu do šejkru, dolít sodou",Longovka,Plátky grepu,,,,,,
,Sober Samurai (N/A),"2cl Samurai Shot, 1cl Vladimir Merunka, 1cl medova voda, 1dcl jablečný mošt","shake, strain do longovky na led",Longovka,platek pomerance,,,,,,
,Sour,"6cl spirit, 2cl citron,
1cl simple,  2cl bílek","vše do shakeru, hard shake, poté zcedit z ledu a after shake bez ledu",pokal (absintová sklenice),"zástřik citronovou kůrou, na základní whiskey střik bitters",,,,,,
,Screwdriver,"4cl seven vodka, 2dcl pomerančový džus",přímo do skla,long,pomeranč,,,,,,
,Vesper,"4cl Tanqueray, 2cl Cryo, 1cl Lillet ",shaken! not stirred,martini glass,citronová kůra - twist,"jen rychlej shake, má to bejt prochlazený, ne vodnatý!",,,,,
,Take it Sloe,"3cl ginberys sloe gin, 6cl rebarbora džus, 1dl spumante",přímo do skla na led,vinná sklenice,citronová kůra,,,,,,
,Tequila Sunrise,"4cl tres alegres blanco, 2dcl Pomerančový džus, střik grenadiny","přímo do skla na led, tequila a džus, nahoru zástřik grenadiny",long,pomeranč,,,,,,
,Tiki? Tiki!,"Meruňkovice Fleret 4cl, Pomeranč Fresh 3cl, Citron 1,5cl, Orgeat 1cl, Grep Bitters 1 střik","Vše do šejkru, double strain",Broušená Whiskey Glass,,,,,,,
,Tom Collins                   Ron Collins,"6cl haymans Old Tom gin, 3cl citron, 2cl simple, soda na dolití /// Ron= 4cl  Plantation 3* 2cl citron, 1cl simple, top soda",rovnou do skla na led,LIMO sklenice,"plátek citronu, třešnička",,,,,,
,Vanilla Affair,"4cl premix (2cl Plantation 3*, 2cl Plantation pineapple)
2cl ananas džus
2cl grep fresh
1cl vanilla syrup
1dash grapefruit bitters","vše do shakeru, double strain",Broušená Whiskey glass,grepová kůra,,,,,,
,Whiskey Smash,"6cl Cutty Sark, 2cl lime, 1cl simple, máta",vše do shakeru,whiskey nebroušená,snítka máty,,,,,,
,White Lady,"5cl Tanqueray, 2cl Cointreau, 2cl citron, 2cl bílek","vše do shakeru a hard shake, after shake, double strain",coupette,nope,,,,,,
,White Russian,"4cl seven vodka, 2cl Gloria, 2cl smetana","smetanu a Nauticu do shakeru, Kahlua do sklenice, zalít shakem",whiskey nebroušená,bambusové míchátko,,,,,,
X,Zombie (UNAVAILABLE),"3cl Blackwell, 3cl Malecon 8y, 2cl Pussers Black, 1,5cl Falernum, 2cl Limeta, 1cl skořice syrup, 1cl grep mošt, 0,5cl St. Antoine, 0,5cl Grenadiny, 2 střiky angostury",vše do shakeru,tiki glass,"pomík, třešinka, máta",,,,,,
